exited,creditscore,age,tenure,balance,numofproducts,estimatedsalary,IncomeBalanceRatio,CardProductRatio,geography_Germany,geography_Spain,hascrcard_1,gender_Male,isactivemember_1
0,520,42,6,0,2,34410,0.0,50.0,0,1,1,0,1
0,722,29,9,0,2,142033,0.0,50.0,0,1,1,0,1
1,475,45,0,134264,1,27822,4.83,100.0,0,0,1,0,0
0,490,31,3,145260,1,114066,1.27,0.0,0,1,0,1,1
0,804,33,7,76548,1,98453,0.78,0.0,0,1,0,1,1
0,850,36,7,0,1,40812,0.0,100.0,0,0,1,1,1
0,582,41,6,70349,2,178074,0.4,0.0,1,0,0,1,1
0,472,40,4,0,1,70154,0.0,100.0,0,1,1,1,0
1,465,51,8,122522,1,181297,0.68,0.0,0,0,0,0,0
0,556,61,2,117419,1,94153,1.25,100.0,0,0,1,0,1
1,834,49,2,131394,1,194365,0.68,0.0,0,0,0,0,0
0,660,61,5,155931,1,158338,0.98,100.0,0,1,1,0,1
0,776,32,4,109421,2,126517,0.86,50.0,1,0,1,0,1
1,829,27,9,112045,1,119708,0.94,100.0,1,0,1,0,1
1,637,39,9,137843,1,117622,1.17,100.0,1,0,1,0,1
0,550,38,2,103391,1,90878,1.14,0.0,1,0,0,1,1
0,776,37,2,103769,2,194099,0.53,50.0,1,0,1,0,0
0,698,44,10,116363,2,198059,0.59,50.0,1,0,1,1,0
0,585,36,5,146050,2,86424,1.69,0.0,1,0,0,1,0
0,788,33,5,0,2,116978,0.0,0.0,0,0,0,0,0
1,655,41,8,125561,1,164040,0.77,0.0,1,0,0,1,0
1,601,42,1,98495,1,40014,2.46,100.0,1,0,1,1,0
0,619,43,1,125211,1,113410,1.1,100.0,0,0,1,1,1
0,656,45,5,127864,1,87107,1.47,100.0,0,0,1,1,0
0,725,19,0,75888,1,45613,1.66,0.0,1,0,0,1,0
1,511,66,4,0,1,1643,0.0,100.0,0,1,1,0,0
0,614,51,4,40685,1,46775,0.87,100.0,0,0,1,1,1
0,742,35,5,136857,1,84509,1.62,0.0,1,0,0,1,0
0,687,27,9,152328,2,126494,1.2,0.0,1,0,0,0,0
0,555,33,1,56084,2,178798,0.31,0.0,0,1,0,1,0
0,684,56,8,78707,1,99398,0.79,100.0,0,1,1,1,1
0,603,26,4,109166,1,92840,1.18,100.0,1,0,1,1,1
0,751,36,6,169831,2,27758,6.12,50.0,1,0,1,0,1
0,581,34,1,101633,1,110431,0.92,100.0,1,0,1,0,0
0,735,43,10,123180,2,196673,0.63,50.0,1,0,1,1,1
0,661,35,5,150725,2,113656,1.33,0.0,1,0,0,0,1
0,675,21,8,98373,1,18203,5.4,100.0,0,0,1,0,0
1,738,58,2,133745,4,28373,4.71,25.0,1,0,1,1,0
0,813,29,6,0,1,33953,0.0,100.0,0,0,1,1,0
0,657,37,0,163607,1,44203,3.7,0.0,0,1,0,0,1
0,604,25,5,157780,2,58426,2.7,50.0,1,0,1,0,1
0,519,36,9,0,2,145562,0.0,0.0,0,0,0,1,1
0,735,21,1,178718,2,22388,7.98,50.0,0,0,1,0,0
0,664,55,8,0,2,139161,0.0,50.0,0,0,1,1,1
0,678,32,9,0,1,148210,0.0,100.0,0,0,1,0,1
0,757,33,5,77253,1,194239,0.4,0.0,0,1,0,1,1
0,416,41,10,122189,2,98301,1.24,50.0,1,0,1,0,0
0,665,34,1,96645,2,171413,0.56,0.0,0,0,0,0,0
1,777,32,2,0,1,136458,0.0,100.0,0,0,1,0,0
0,543,36,3,0,2,26019,0.0,0.0,0,0,0,0,0
0,506,34,4,90307,1,159235,0.57,100.0,0,0,1,0,1
0,493,46,4,0,2,1907,0.0,50.0,0,0,1,0,0
0,652,75,10,0,2,114675,0.0,50.0,0,1,1,0,1
1,750,22,3,121681,1,128643,0.95,100.0,0,1,1,1,0
0,729,30,9,0,2,151869,0.0,50.0,0,0,1,1,0
1,646,46,4,0,3,93251,0.0,33.33,0,0,1,0,0
0,635,28,3,81623,2,156791,0.52,50.0,1,0,1,0,1
1,647,44,5,0,3,174205,0.0,33.33,0,1,1,0,1
0,808,45,7,118626,2,147132,0.81,50.0,0,0,1,1,0
0,524,36,10,0,2,109614,0.0,50.0,0,0,1,0,0
0,769,29,8,0,2,172290,0.0,50.0,0,0,1,1,1
0,730,42,4,0,2,85982,0.0,0.0,0,1,0,1,1
0,515,35,10,176273,1,121277,1.45,0.0,0,1,0,1,1
0,773,41,9,102827,1,64595,1.59,0.0,0,1,0,1,1
0,814,29,8,97086,2,197276,0.49,50.0,1,0,1,1,1
0,710,22,8,0,2,99645,0.0,0.0,0,1,0,1,0
0,413,34,9,0,2,6534,0.0,0.0,0,0,0,1,0
0,665,40,6,0,1,161848,0.0,100.0,0,0,1,0,1
0,623,44,6,0,2,167162,0.0,0.0,0,0,0,0,0
0,738,31,9,82674,1,41970,1.97,100.0,0,0,1,1,0
0,528,36,7,0,2,60536,0.0,50.0,0,1,1,1,0
1,670,65,1,0,1,177655,0.0,100.0,0,1,1,0,1
1,622,46,4,107073,2,30984,3.46,50.0,0,1,1,0,1
0,582,32,1,88938,1,10054,8.85,100.0,1,0,1,1,1
0,785,36,2,99806,1,36976,2.7,0.0,1,0,0,0,1
0,605,33,5,150092,1,71862,2.09,0.0,0,1,0,1,0
1,479,35,9,92833,1,99449,0.93,100.0,1,0,1,1,0
0,685,30,3,90536,1,63082,1.44,0.0,1,0,0,1,1
0,538,39,7,108055,2,27231,3.97,50.0,1,0,1,1,0
0,562,42,2,100238,1,86797,1.15,0.0,0,0,0,1,0
0,675,36,9,106190,1,22994,4.62,0.0,0,1,0,1,1
1,721,28,9,154475,2,101300,1.52,0.0,1,0,0,1,1
0,628,30,9,132351,2,74169,1.78,50.0,1,0,1,0,1
0,668,37,6,167864,1,115638,1.45,100.0,1,0,1,0,0
0,506,41,1,0,2,31766,0.0,50.0,0,0,1,0,0
1,524,31,8,107818,1,199725,0.54,100.0,1,0,1,0,0
0,699,34,4,185173,2,120834,1.53,50.0,1,0,1,1,0
0,828,34,8,129433,2,38131,3.39,0.0,0,0,0,1,0
0,674,39,6,120193,1,100130,1.2,0.0,0,1,0,1,0
0,656,39,6,0,2,141069,0.0,50.0,0,0,1,0,0
0,684,48,10,126384,1,198129,0.64,100.0,1,0,1,0,1
0,625,28,3,0,1,183646,0.0,0.0,0,0,0,0,0
1,432,42,9,152603,1,110265,1.38,100.0,0,0,1,1,0
1,549,52,1,0,1,8636,0.0,0.0,0,0,0,0,1
1,625,56,0,148507,1,46824,3.17,100.0,1,0,1,1,0
0,828,41,7,0,2,171378,0.0,50.0,0,0,1,0,0
0,770,24,9,101827,1,167256,0.61,100.0,0,0,1,1,0
0,758,34,3,0,2,124226,0.0,50.0,0,0,1,0,1
0,795,33,9,130862,1,114935,1.14,100.0,1,0,1,0,1
0,687,38,9,122570,1,35608,3.44,100.0,0,0,1,1,1
0,686,25,1,0,2,16459,0.0,0.0,0,0,0,1,1
0,789,39,7,124828,2,124411,1.0,50.0,1,0,1,1,1
0,589,50,5,144895,2,34941,4.15,50.0,1,0,1,0,1
0,461,34,5,63663,1,167784,0.38,0.0,1,0,0,0,1
0,637,40,2,133463,1,93165,1.43,0.0,0,0,0,1,1
1,584,48,2,213146,1,75161,2.84,100.0,0,1,1,0,0
1,579,35,1,129490,2,8590,15.07,0.0,0,1,0,0,1
0,756,44,10,137452,1,189543,0.73,100.0,1,0,1,1,0
0,663,34,7,0,2,180427,0.0,50.0,0,0,1,1,1
0,682,43,5,125851,1,193318,0.65,100.0,0,0,1,0,1
1,793,52,2,0,1,159123,0.0,100.0,0,1,1,1,0
1,691,31,5,40915,1,126213,0.32,100.0,0,0,1,0,0
0,485,21,5,113157,1,54141,2.09,100.0,0,1,1,0,1
0,635,29,8,138296,2,141075,0.98,50.0,0,1,1,0,0
0,650,37,5,106967,1,24495,4.37,0.0,0,0,0,1,0
0,735,44,9,120681,1,74836,1.61,100.0,0,0,1,1,0
0,416,32,0,0,2,878,0.0,0.0,0,0,0,1,1
0,754,32,7,0,2,89520,0.0,50.0,0,1,1,0,0
1,535,48,9,0,1,149892,0.0,100.0,0,0,1,0,0
0,716,42,8,0,2,180800,0.0,50.0,0,1,1,1,0
0,539,37,2,127609,1,98646,1.29,100.0,0,0,1,1,0
0,614,43,6,0,2,109041,0.0,50.0,0,0,1,0,1
1,706,57,7,0,1,17941,0.0,100.0,0,1,1,1,0
0,758,33,7,0,2,82996,0.0,0.0,0,0,0,0,0
0,586,28,2,0,2,92067,0.0,50.0,0,1,1,0,1
0,646,73,6,97259,1,104719,0.93,0.0,0,0,0,0,1
0,631,33,4,123246,1,112687,1.09,0.0,1,0,0,0,0
0,717,22,6,101060,1,84699,1.19,0.0,0,1,0,0,1
0,684,30,2,0,2,83473,0.0,50.0,0,0,1,1,0
0,800,49,7,108007,1,47125,2.29,0.0,0,0,0,0,0
0,721,36,2,0,2,106977,0.0,50.0,0,1,1,0,1
1,683,29,0,133702,1,55582,2.41,100.0,0,1,1,1,0
0,660,31,9,125189,2,139874,0.9,50.0,1,0,1,1,1
1,704,24,7,113034,1,162503,0.7,100.0,1,0,1,0,0
0,615,41,9,109013,1,196499,0.55,100.0,0,1,1,0,0
1,667,39,2,0,2,40721,0.0,50.0,0,1,1,0,0
0,682,24,9,57929,2,53134,1.09,0.0,1,0,0,1,0
0,484,29,4,130114,1,164017,0.79,100.0,0,0,1,0,0
0,628,27,5,95826,2,155996,0.61,50.0,1,0,1,1,0
1,480,44,10,129608,1,5472,23.69,100.0,1,0,1,1,0
0,578,30,4,169462,1,112187,1.51,100.0,0,0,1,1,0
0,512,40,5,0,2,146457,0.0,50.0,0,0,1,1,1
0,484,35,7,133868,1,27286,4.91,100.0,0,1,1,0,1
0,510,30,0,0,2,130553,0.0,50.0,0,0,1,0,1
0,606,36,5,190479,2,179351,1.06,0.0,1,0,0,1,0
0,597,40,8,101993,1,94774,1.08,0.0,0,1,0,0,1
1,754,55,3,161608,1,8080,20.0,100.0,1,0,1,0,0
0,850,45,2,122311,1,19482,6.28,100.0,0,1,1,0,1
0,510,65,2,0,2,48071,0.0,50.0,0,0,1,1,1
0,778,45,1,162150,2,174531,0.93,50.0,1,0,1,0,0
0,636,42,2,0,2,55470,0.0,50.0,0,0,1,1,1
1,804,50,4,0,1,8546,0.0,100.0,0,0,1,0,1
0,514,32,8,0,2,95857,0.0,50.0,0,0,1,1,0
0,730,39,1,99010,1,194945,0.51,100.0,0,0,1,0,0
0,525,37,0,0,1,131521,0.0,0.0,0,1,0,0,1
0,616,30,5,0,2,196108,0.0,0.0,0,1,0,1,1
0,687,34,7,111388,2,148564,0.75,50.0,1,0,1,0,0
1,715,41,8,56214,2,92982,0.6,0.0,0,0,0,0,0
0,512,36,3,84327,2,17675,4.77,50.0,0,0,1,0,0
0,479,40,1,0,2,114996,0.0,0.0,0,0,0,1,0
0,601,32,8,93012,1,86957,1.07,100.0,0,0,1,1,0
0,580,29,9,61710,2,128077,0.48,50.0,0,1,1,1,0
0,807,35,3,174790,1,600,291.32,100.0,0,0,1,1,1
0,616,32,6,0,2,43001,0.0,50.0,0,1,1,0,1
0,721,37,3,107720,1,158591,0.68,100.0,1,0,1,1,1
0,501,57,10,0,2,47847,0.0,50.0,0,0,1,1,1
0,521,35,6,96423,1,10488,9.19,100.0,0,0,1,1,0
0,850,30,2,141040,1,5978,23.59,100.0,0,1,1,1,1
0,759,42,4,105420,1,121409,0.87,0.0,0,0,0,1,1
1,516,50,5,0,1,146145,0.0,0.0,0,1,0,1,1
1,711,38,2,129022,2,14374,8.98,50.0,0,0,1,0,1
0,512,33,3,176666,1,94670,1.87,100.0,0,1,1,1,0
0,550,37,3,0,1,179670,0.0,100.0,0,0,1,1,1
1,608,41,3,89763,1,199304,0.45,0.0,0,1,0,0,0
0,618,34,5,134954,1,151954,0.89,100.0,0,0,1,1,1
1,643,45,5,0,1,142513,0.0,100.0,0,0,1,1,0
0,671,45,2,106376,1,158264,0.67,0.0,0,0,0,1,1
0,689,33,2,161814,2,169381,0.96,50.0,1,0,1,1,0
0,603,31,8,0,2,169915,0.0,50.0,0,0,1,1,1
0,620,41,9,0,2,88852,0.0,0.0,0,0,0,0,0
0,676,34,1,63095,1,40645,1.55,100.0,0,0,1,0,1
0,572,26,4,118287,2,60427,1.96,0.0,1,0,0,1,0
1,668,47,7,106854,1,157959,0.68,0.0,1,0,0,1,1
0,695,46,7,49512,1,133007,0.37,100.0,0,0,1,1,0
0,730,33,9,0,2,176576,0.0,0.0,0,1,0,0,0
1,807,43,1,105799,2,34888,3.03,50.0,0,0,1,1,0
1,592,54,8,0,1,28737,0.0,100.0,0,0,1,1,1
0,726,31,9,114722,2,98178,1.17,50.0,0,0,1,0,1
0,514,30,7,0,1,125010,0.0,0.0,0,1,0,1,1
0,567,42,2,0,2,167984,0.0,50.0,0,0,1,1,1
1,850,33,10,0,1,4861,0.0,100.0,0,0,1,1,0
1,671,45,6,99564,1,108872,0.91,100.0,1,0,1,1,1
0,670,37,4,170557,2,198252,0.86,50.0,0,0,1,1,0
0,694,30,9,0,2,26960,0.0,50.0,0,0,1,0,1
1,547,39,6,74596,3,85746,0.87,33.33,1,0,1,0,1
1,751,50,2,96888,1,77206,1.25,100.0,1,0,1,1,0
0,594,29,3,130830,1,61048,2.14,100.0,1,0,1,0,0
0,673,72,1,0,2,111981,0.0,0.0,0,0,0,1,1
0,610,40,0,0,2,62232,0.0,50.0,0,0,1,1,0
0,512,37,1,0,2,156105,0.0,0.0,0,0,0,0,1
0,767,20,3,119714,2,150135,0.8,0.0,1,0,0,1,1
0,585,67,5,113978,2,93146,1.22,0.0,0,0,0,0,1
1,763,42,6,100160,1,33462,2.99,100.0,1,0,1,1,0
0,712,29,2,0,1,144375,0.0,100.0,0,0,1,0,1
1,539,43,3,116220,3,55803,2.08,33.33,1,0,1,0,0
1,668,46,2,0,3,89048,0.0,33.33,0,0,1,0,0
0,703,28,2,81173,2,162812,0.5,0.0,0,0,0,1,1
0,662,38,4,0,2,136259,0.0,50.0,0,1,1,1,0
0,725,39,5,116803,1,124052,0.94,100.0,1,0,1,0,0
0,703,37,8,105961,2,74158,1.43,0.0,0,0,0,1,1
1,659,67,6,117411,1,45071,2.61,100.0,1,0,1,1,1
0,523,34,7,0,2,62030,0.0,50.0,0,1,1,1,0
1,635,40,10,123497,1,131953,0.94,100.0,0,0,1,0,0
0,772,26,7,152400,2,79414,1.92,50.0,1,0,1,1,0
0,545,26,1,0,2,199638,0.0,50.0,0,0,1,0,1
0,634,24,8,103097,1,157577,0.65,100.0,1,0,1,1,1
1,739,54,8,126418,1,134420,0.94,100.0,1,0,1,1,0
0,771,36,5,77846,1,99805,0.78,0.0,1,0,0,0,0
0,587,34,1,0,2,97932,0.0,50.0,0,1,1,0,1
0,681,79,0,0,2,170968,0.0,0.0,0,0,0,0,1
0,544,37,2,79731,1,57558,1.39,100.0,1,0,1,1,1
0,696,28,8,0,1,176713,0.0,0.0,0,1,0,1,0
0,766,41,0,0,2,34283,0.0,0.0,0,1,0,1,1
0,727,34,10,0,2,198637,0.0,50.0,0,0,1,1,1
0,671,34,6,37266,2,156917,0.24,0.0,1,0,0,0,0
0,693,30,6,127992,1,50457,2.54,100.0,0,0,1,0,1
0,850,38,3,54901,1,140075,0.39,100.0,1,0,1,1,1
0,732,42,9,108748,2,65323,1.66,50.0,1,0,1,1,1
0,726,48,6,99906,1,64323,1.55,100.0,0,1,1,0,0
0,557,32,6,184686,2,14956,12.35,50.0,0,0,1,0,0
0,682,26,0,110654,1,111879,0.99,0.0,0,0,0,0,1
0,738,31,9,79019,1,18606,4.25,100.0,0,1,1,1,1
0,531,36,9,99240,1,123137,0.81,100.0,0,1,1,0,0
0,498,34,2,0,2,148528,0.0,50.0,0,0,1,1,1
0,651,36,7,0,2,13898,0.0,50.0,0,0,1,1,0
1,549,39,7,0,1,81259,0.0,0.0,0,1,0,0,0
0,791,35,7,52436,1,161051,0.33,100.0,1,0,1,0,0
0,650,41,9,0,2,191599,0.0,0.0,0,1,0,1,1
1,733,34,3,100337,3,48559,2.07,33.33,1,0,1,1,0
0,811,34,1,149297,2,186339,0.8,50.0,1,0,1,0,1
0,707,30,8,0,2,33159,0.0,50.0,0,0,1,1,0
0,712,28,4,145605,1,93883,1.55,0.0,1,0,0,1,1
0,706,37,7,0,2,110899,0.0,50.0,0,1,1,0,1
1,756,62,3,0,1,11199,0.0,100.0,0,0,1,1,1
0,777,53,10,0,2,189992,0.0,50.0,0,0,1,0,0
0,646,35,6,84026,1,164255,0.51,0.0,0,0,0,1,1
1,714,46,1,0,1,152167,0.0,100.0,0,0,1,1,0
0,782,39,8,0,2,33949,0.0,50.0,0,0,1,1,1
0,775,29,10,0,2,68143,0.0,50.0,0,1,1,1,1
1,479,35,4,138718,1,47251,2.94,100.0,1,0,1,1,1
0,807,42,7,118274,1,25885,4.57,100.0,0,0,1,1,1
0,799,22,8,174185,2,192633,0.9,0.0,0,0,0,0,1
0,675,40,7,113208,2,34577,3.27,50.0,0,0,1,1,0
0,602,29,5,103907,1,161229,0.64,100.0,0,1,1,1,0
0,475,32,8,119023,1,100816,1.18,100.0,0,0,1,0,0
0,744,26,5,166297,1,181694,0.92,100.0,0,1,1,0,1
0,588,34,10,0,2,79078,0.0,50.0,0,1,1,1,0
0,703,42,9,63227,1,137316,0.46,0.0,1,0,0,1,1
0,747,41,5,94521,2,194926,0.48,50.0,0,1,1,0,0
0,583,27,7,0,2,51285,0.0,50.0,0,0,1,1,0
1,750,34,9,112822,1,150401,0.75,0.0,0,1,0,0,0
0,681,38,3,0,2,112491,0.0,50.0,0,0,1,1,1
0,773,25,2,135903,1,73656,1.85,100.0,0,0,1,1,0
0,714,31,4,125169,1,106636,1.17,100.0,0,0,1,0,1
1,687,44,7,0,3,155853,0.0,33.33,0,1,1,0,0
0,511,58,0,149117,1,162599,0.92,100.0,0,0,1,1,1
0,627,33,5,0,2,103737,0.0,50.0,0,0,1,1,1
0,694,31,10,0,2,160990,0.0,50.0,0,0,1,0,0
0,616,36,6,132311,1,15462,8.56,0.0,0,1,0,0,0
0,687,35,8,0,2,10334,0.0,50.0,0,0,1,1,0
0,712,33,6,0,2,190686,0.0,50.0,0,0,1,0,1
0,553,33,4,118082,1,94440,1.25,0.0,0,0,0,1,0
0,667,31,1,119266,1,28257,4.22,100.0,0,0,1,1,1
1,731,43,2,0,1,170034,0.0,100.0,0,0,1,1,1
0,629,35,7,156847,2,31824,4.93,50.0,1,0,1,1,0
1,614,50,4,137104,1,127166,1.08,100.0,0,0,1,1,0
0,438,31,8,78398,1,44937,1.74,100.0,1,0,1,1,0
0,652,80,4,0,2,188603,0.0,50.0,0,0,1,0,1
0,729,30,6,63669,1,145111,0.44,100.0,1,0,1,1,0
0,642,38,3,0,2,171463,0.0,0.0,0,0,0,1,0
0,806,59,0,135296,1,182822,0.74,100.0,1,0,1,0,0
0,744,36,2,153804,1,87213,1.76,100.0,0,1,1,1,1
0,474,37,3,0,2,57175,0.0,0.0,0,1,0,1,0
1,559,49,2,147069,1,120540,1.22,100.0,0,0,1,1,0
0,706,42,9,0,2,28714,0.0,50.0,0,1,1,1,1
0,628,22,3,0,1,85426,0.0,100.0,0,1,1,0,0
0,429,24,4,95741,1,46170,2.07,100.0,0,0,1,1,0
0,525,57,2,145965,1,64448,2.26,100.0,0,1,1,0,1
0,680,30,8,141441,1,16278,8.69,100.0,0,0,1,0,1
1,749,40,1,139290,1,182855,0.76,100.0,0,0,1,1,0
0,763,31,4,0,2,50404,0.0,0.0,0,0,0,0,0
0,734,30,3,0,2,107640,0.0,50.0,0,0,1,1,0
0,716,35,4,144428,1,134132,1.08,100.0,0,0,1,1,0
0,594,35,2,0,2,103480,0.0,50.0,0,0,1,1,0
1,644,46,9,95441,1,108761,0.88,100.0,0,0,1,0,0
0,671,35,1,144848,1,179012,0.81,100.0,1,0,1,1,1
0,664,26,7,116244,2,95145,1.22,50.0,1,0,1,1,1
0,656,50,7,0,2,72143,0.0,0.0,0,0,0,1,1
0,667,40,1,146502,1,19162,7.65,100.0,0,1,1,0,0
0,663,44,2,117028,2,144680,0.81,0.0,1,0,0,1,1
1,584,30,8,112013,1,177772,0.63,100.0,1,0,1,0,0
0,626,37,6,108269,1,5597,19.34,100.0,0,1,1,0,0
1,485,29,7,182123,1,116828,1.56,100.0,0,0,1,1,0
0,659,32,3,150923,2,174652,0.86,0.0,1,0,0,0,1
0,649,33,2,0,2,2010,0.0,50.0,0,0,1,1,0
1,805,39,5,165272,1,14109,11.71,100.0,0,1,1,0,0
1,716,39,10,115301,1,43527,2.65,100.0,1,0,1,0,0
1,642,40,6,129502,2,86099,1.5,0.0,1,0,0,0,1
0,659,31,4,118342,1,161574,0.73,0.0,0,0,0,1,0
0,545,47,5,0,2,38970,0.0,50.0,0,1,1,0,1
0,543,22,8,0,2,127587,0.0,0.0,0,0,0,1,0
0,718,25,7,0,2,30380,0.0,50.0,0,0,1,0,0
0,840,43,7,0,2,90908,0.0,50.0,0,0,1,0,0
0,630,34,9,106937,2,138275,0.77,50.0,1,0,1,0,0
0,643,59,3,170331,1,32171,5.29,100.0,1,0,1,1,1
0,654,32,1,114510,1,126143,0.91,100.0,1,0,1,0,1
0,582,39,5,0,2,129892,0.0,50.0,0,0,1,1,1
0,659,32,3,107594,2,102416,1.05,50.0,0,1,1,1,1
0,762,39,2,81273,1,18719,4.34,100.0,0,1,1,1,1
0,568,32,7,169399,1,61936,2.74,100.0,0,1,1,0,0
0,670,25,6,0,2,78358,0.0,50.0,0,1,1,1,1
0,613,45,1,187841,2,147224,1.28,50.0,0,0,1,0,1
0,539,30,0,0,2,160979,0.0,50.0,0,0,1,1,0
0,850,57,8,126776,2,132298,0.96,50.0,0,1,1,0,1
1,522,34,9,126436,1,174248,0.73,100.0,0,1,1,1,0
0,737,41,1,101960,1,123547,0.83,100.0,0,0,1,1,1
0,520,58,3,0,2,32790,0.0,0.0,0,0,0,1,1
0,706,28,3,0,2,181543,0.0,0.0,0,1,0,1,1
1,643,45,2,150842,1,2319,65.05,0.0,1,0,0,0,1
0,648,50,9,102535,1,189543,0.54,100.0,0,0,1,0,1
0,443,29,9,99027,2,10940,9.05,50.0,1,0,1,0,0
0,640,68,9,0,2,199493,0.0,50.0,0,0,1,1,1
0,628,33,3,0,1,188193,0.0,100.0,0,1,1,0,1
0,540,42,9,87271,2,172572,0.51,50.0,1,0,1,0,0
0,460,35,8,102742,2,189339,0.54,50.0,1,0,1,0,1
0,636,34,2,40105,2,53512,0.75,0.0,1,0,0,1,1
0,593,29,2,152265,1,34004,4.48,100.0,0,0,1,0,0
0,801,42,4,141947,1,10598,13.39,100.0,0,1,1,1,1
0,640,75,1,106307,2,113428,0.94,0.0,1,0,0,0,1
0,611,31,0,107884,2,183487,0.59,50.0,1,0,1,1,1
0,802,31,1,125013,1,187658,0.67,100.0,1,0,1,1,1
0,717,35,7,58469,2,172459,0.34,50.0,1,0,1,1,1
0,769,39,8,0,1,21016,0.0,0.0,0,0,0,0,1
1,745,45,10,117231,3,122381,0.96,33.33,1,0,1,1,1
0,572,35,4,152390,1,128123,1.19,100.0,0,1,1,1,0
0,629,30,2,34013,1,19570,1.74,100.0,0,1,1,0,0
1,687,39,2,0,3,188150,0.0,0.0,0,1,0,0,0
0,483,50,9,0,2,111020,0.0,50.0,0,0,1,0,1
0,690,36,7,101583,2,123775,0.82,50.0,0,0,1,1,0
0,492,30,10,77168,2,146700,0.53,0.0,1,0,0,0,1
0,709,28,8,124695,2,145251,0.86,50.0,1,0,1,1,0
0,705,44,3,105934,1,82463,1.28,100.0,1,0,1,1,0
0,560,66,9,0,1,15928,0.0,100.0,0,0,1,0,1
0,611,46,6,0,2,45886,0.0,50.0,0,1,1,1,0
0,730,62,2,0,2,186489,0.0,50.0,0,1,1,1,1
0,709,45,2,0,2,162922,0.0,0.0,0,1,0,0,1
0,544,21,10,161525,2,9262,17.44,50.0,0,0,1,0,0
0,712,29,7,147199,1,84932,1.73,100.0,1,0,1,0,1
0,752,38,3,183102,1,71557,2.56,100.0,1,0,1,1,1
1,648,46,9,127209,2,77405,1.64,50.0,0,1,1,1,0
1,556,38,8,0,2,417,0.0,0.0,0,1,0,1,0
0,594,24,0,97378,1,71405,1.36,100.0,0,1,1,0,1
0,645,37,2,136925,2,153400,0.89,0.0,1,0,0,0,1
0,557,33,3,54503,1,371,146.91,100.0,0,0,1,1,1
0,547,32,8,155726,1,67789,2.3,100.0,1,0,1,1,0
0,701,39,9,0,2,145894,0.0,0.0,0,0,0,0,1
1,616,66,1,135842,1,183840,0.74,100.0,0,0,1,0,0
0,605,52,1,63349,1,108887,0.58,100.0,0,0,1,1,0
0,593,38,4,129499,1,154071,0.84,100.0,1,0,1,0,1
0,751,52,8,0,2,179291,0.0,0.0,0,1,0,1,1
0,443,36,6,70438,2,56937,1.24,0.0,0,1,0,1,1
0,685,23,8,0,2,112239,0.0,50.0,0,0,1,1,1
0,718,36,9,0,1,45909,0.0,100.0,0,0,1,1,0
1,538,49,9,141434,1,173779,0.81,0.0,0,1,0,0,0
0,611,37,4,0,2,125696,0.0,50.0,0,1,1,0,0
0,668,37,10,152958,2,159585,0.96,50.0,1,0,1,1,1
0,537,41,3,138306,1,106761,1.3,100.0,1,0,1,0,0
0,709,23,10,0,2,129590,0.0,0.0,0,1,0,1,0
